State,Abbreviation,Buddhist,Catholic,Evangelical Protestant,Hindu,Historically Black Protestant,Jehovah's Witness,Jewish,Mainline Protestant,Mormon,Muslim,Orthodox Christian,Other Christian,Other Faiths,Other World Religions,"Unaffiliated (religious ""nones"")",Don't know,Sample Size
Alabama,AL,< 1%,7%,49%,< 1%,16%,< 1%,< 1%,13%,1%,< 1%,< 1%,< 1%,1%,< 1%,12%,1%,511
Alaska,AK,1%,16%,22%,< 1%,3%,< 1%,< 1%,12%,5%,< 1%,5%,< 1%,4%,1%,31%,1%,310
Arizona,AZ,1%,21%,26%,1%,1%,1%,2%,12%,5%,1%,< 1%,< 1%,2%,< 1%,27%,< 1%,653
Arkansas,AR,< 1%,8%,46%,< 1%,8%,< 1%,< 1%,16%,1%,2%,< 1%,< 1%,1%,< 1%,18%,< 1%,311
California,CA,2%,28%,20%,2%,2%,1%,2%,10%,1%,1%,1%,1%,2%,1%,27%,1%,"3,697"
Colorado,CO,1%,16%,26%,< 1%,2%,< 1%,1%,15%,2%,< 1%,1%,1%,2%,< 1%,29%,2%,504
Connecticut,CT,1%,33%,13%,1%,5%,< 1%,3%,17%,1%,1%,1%,1%,2%,< 1%,23%,1%,377
Delaware,DE,< 1%,22%,15%,2%,10%,< 1%,3%,21%,< 1%,1%,1%,< 1%,1%,< 1%,23%,1%,301
District of Columbia,FL,< 1%,20%,8%,1%,23%,< 1%,5%,10%,2%,2%,1%,< 1%,1%,< 1%,25%,1%,303
Florida,GA,< 1%,21%,24%,< 1%,8%,1%,3%,14%,1%,< 1%,< 1%,1%,2%,< 1%,24%,< 1%,"2,020"
Georgia,HI,< 1%,9%,38%,< 1%,17%,2%,1%,12%,1%,< 1%,< 1%,< 1%,2%,< 1%,18%,1%,968
Hawaii,ID,8%,20%,25%,< 1%,2%,1%,< 1%,11%,3%,< 1%,< 1%,1%,1%,< 1%,26%,1%,312
Idaho,IL,< 1%,10%,21%,< 1%,< 1%,< 1%,< 1%,16%,19%,1%,1%,< 1%,2%,< 1%,27%,1%,320
Illinois,IN,1%,28%,20%,1%,7%,1%,2%,16%,< 1%,1%,1%,< 1%,1%,< 1%,22%,1%,"1,326"
Indiana,IA,< 1%,18%,31%,< 1%,5%,< 1%,1%,16%,1%,< 1%,< 1%,< 1%,1%,< 1%,26%,< 1%,654
Iowa,KS,< 1%,18%,28%,< 1%,2%,< 1%,< 1%,30%,< 1%,1%,< 1%,< 1%,< 1%,< 1%,21%,1%,330
Kansas,KY,1%,18%,31%,< 1%,2%,1%,< 1%,24%,1%,1%,< 1%,< 1%,2%,< 1%,20%,< 1%,307
Kentucky,LA,< 1%,10%,49%,< 1%,5%,< 1%,< 1%,11%,< 1%,< 1%,< 1%,< 1%,2%,< 1%,22%,< 1%,439
Louisiana,ME,1%,26%,27%,< 1%,22%,1%,< 1%,8%,< 1%,< 1%,< 1%,1%,1%,< 1%,13%,< 1%,465
Maine,MD,1%,21%,14%,< 1%,2%,< 1%,2%,21%,2%,< 1%,< 1%,1%,5%,< 1%,31%,2%,303
Maryland,MA,1%,15%,18%,1%,16%,< 1%,3%,18%,1%,1%,1%,1%,2%,< 1%,23%,< 1%,644
Massachusetts,MI,1%,34%,9%,1%,2%,< 1%,3%,10%,1%,1%,1%,< 1%,2%,< 1%,32%,1%,704
Michigan,MN,1%,18%,25%,< 1%,8%,1%,1%,18%,< 1%,1%,< 1%,1%,1%,< 1%,24%,1%,982
Minnesota,MS,< 1%,22%,19%,< 1%,2%,< 1%,1%,29%,1%,1%,< 1%,< 1%,1%,1%,20%,2%,563
Mississippi,MO,< 1%,4%,41%,< 1%,24%,< 1%,< 1%,12%,1%,< 1%,< 1%,< 1%,1%,< 1%,14%,1%,309
Missouri,MT,1%,16%,36%,< 1%,6%,< 1%,< 1%,16%,1%,< 1%,< 1%,< 1%,1%,< 1%,20%,< 1%,642
Montana,NE,1%,17%,28%,< 1%,< 1%,1%,< 1%,14%,4%,< 1%,1%,< 1%,4%,< 1%,30%,< 1%,312
Nebraska,NV,1%,23%,25%,1%,2%,< 1%,< 1%,24%,1%,< 1%,< 1%,< 1%,1%,< 1%,20%,1%,312
Nevada,NH,< 1%,25%,20%,< 1%,5%,1%,2%,10%,4%,< 1%,1%,< 1%,3%,< 1%,28%,1%,314
New Hampshire,NJ,< 1%,26%,13%,< 1%,1%,2%,2%,16%,1%,< 1%,< 1%,< 1%,3%,< 1%,36%,< 1%,303
New Jersey,NM,< 1%,34%,13%,3%,6%,1%,6%,12%,1%,3%,1%,< 1%,1%,1%,18%,1%,886
New Mexico,NY,1%,34%,23%,< 1%,1%,1%,< 1%,14%,2%,< 1%,< 1%,< 1%,2%,< 1%,21%,< 1%,312
New York,NC,1%,31%,10%,1%,5%,1%,7%,11%,< 1%,2%,1%,< 1%,2%,< 1%,27%,1%,"1,966"
North Carolina,ND,< 1%,9%,35%,< 1%,12%,1%,1%,19%,1%,< 1%,1%,< 1%,1%,< 1%,20%,< 1%,"1,022"
North Dakota,OH,< 1%,26%,22%,< 1%,1%,< 1%,< 1%,28%,< 1%,1%,< 1%,< 1%,2%,< 1%,20%,< 1%,338
Ohio,OK,1%,18%,29%,< 1%,7%,1%,1%,17%,1%,1%,< 1%,< 1%,2%,< 1%,22%,< 1%,"1,132"
Oklahoma,OR,< 1%,8%,47%,< 1%,4%,< 1%,< 1%,18%,1%,< 1%,< 1%,< 1%,1%,< 1%,18%,1%,391
Oregon,PA,< 1%,12%,29%,< 1%,1%,< 1%,2%,13%,4%,1%,1%,1%,3%,1%,31%,1%,419
Pennsylvania,RI,< 1%,24%,19%,1%,5%,1%,1%,23%,< 1%,1%,< 1%,< 1%,2%,< 1%,21%,1%,"1,366"
Rhode Island,SC,< 1%,42%,14%,1%,2%,2%,1%,14%,1%,< 1%,< 1%,< 1%,1%,1%,20%,1%,305
South Carolina,SD,< 1%,10%,35%,< 1%,15%,1%,1%,16%,1%,< 1%,1%,< 1%,1%,< 1%,19%,1%,495
South Dakota,TN,1%,22%,25%,< 1%,< 1%,< 1%,< 1%,32%,< 1%,< 1%,< 1%,< 1%,2%,< 1%,18%,< 1%,305
Tennessee,TX,1%,6%,52%,< 1%,8%,1%,1%,13%,1%,1%,< 1%,< 1%,1%,< 1%,14%,1%,661
Texas,UT,1%,23%,31%,< 1%,6%,1%,1%,13%,1%,1%,< 1%,1%,1%,< 1%,18%,< 1%,"2,535"
Utah,VT,1%,5%,7%,< 1%,< 1%,< 1%,< 1%,6%,55%,1%,< 1%,< 1%,2%,< 1%,22%,1%,315
Vermont,VA,1%,22%,11%,1%,< 1%,< 1%,2%,19%,< 1%,< 1%,1%,< 1%,3%,1%,37%,2%,306
Virginia,WA,1%,12%,30%,< 1%,12%,< 1%,1%,16%,2%,1%,1%,< 1%,1%,< 1%,20%,< 1%,882
Washington,WV,1%,17%,25%,1%,2%,2%,1%,13%,3%,< 1%,< 1%,1%,3%,< 1%,32%,1%,714
West Virginia,WI,< 1%,6%,39%,< 1%,2%,< 1%,1%,29%,2%,1%,< 1%,< 1%,1%,< 1%,18%,1%,309
Wisconsin,WY,< 1%,25%,22%,< 1%,4%,1%,1%,18%,< 1%,1%,1%,< 1%,1%,< 1%,25%,< 1%,600
Wyoming,,1%,14%,27%,< 1%,< 1%,3%,< 1%,16%,9%,< 1%,< 1%,1%,3%,< 1%,26%,< 1%,316
